Participant ID,Condition,Round Number,Click Number,Click Time (ms),Is First Click,Is Last Click,Is Middle Click,Total Clicks in Round
67e2f34bbd517bc7e964f50a,color,1,0,161,1,0,0,13
67e2f34bbd517bc7e964f50a,color,1,1,132,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,2,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,3,150,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,4,33,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,5,834,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,6,333,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,7,652,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,8,165,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,9,83,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,10,83,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,11,220,0,0,1,13
67e2f34bbd517bc7e964f50a,color,1,12,315,0,1,0,13
67e2f34bbd517bc7e964f50a,color,2,0,226,1,0,0,13
67e2f34bbd517bc7e964f50a,color,2,1,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,2,167,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,3,133,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,4,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,5,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,6,134,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,7,133,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,8,167,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,9,133,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,10,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,11,269,0,0,1,13
67e2f34bbd517bc7e964f50a,color,2,12,997,0,1,0,13
67e2f34bbd517bc7e964f50a,color,3,0,111,1,0,0,13
67e2f34bbd517bc7e964f50a,color,3,1,133,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,2,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,3,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,4,100,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,5,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,6,150,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,7,250,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,8,167,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,9,252,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,10,98,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,11,667,0,0,1,13
67e2f34bbd517bc7e964f50a,color,3,12,418,0,1,0,13
67e2f34bbd517bc7e964f50a,color,4,0,43,1,0,0,13
67e2f34bbd517bc7e964f50a,color,4,1,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,2,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,3,134,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,4,250,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,5,285,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,6,148,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,7,166,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,8,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,9,270,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,10,148,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,11,150,0,0,1,13
67e2f34bbd517bc7e964f50a,color,4,12,399,0,1,0,13
67e2f34bbd517bc7e964f50a,color,5,0,94,1,0,0,13
67e2f34bbd517bc7e964f50a,color,5,1,218,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,2,249,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,3,255,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,4,245,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,5,83,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,6,166,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,7,200,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,8,151,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,9,249,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,10,167,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,11,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,5,12,1017,0,1,0,13
67e2f34bbd517bc7e964f50a,color,6,0,113,1,0,0,13
67e2f34bbd517bc7e964f50a,color,6,1,233,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,2,130,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,3,100,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,4,133,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,5,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,6,134,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,7,83,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,8,151,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,9,117,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,10,216,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,11,184,0,0,1,13
67e2f34bbd517bc7e964f50a,color,6,12,203,0,1,0,13
67e2f34bbd517bc7e964f50a,color,7,0,3774,1,0,0,13
67e2f34bbd517bc7e964f50a,color,7,1,67,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,2,100,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,3,85,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,4,116,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,5,199,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,6,82,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,7,220,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,8,81,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,9,168,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,10,82,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,11,450,0,0,1,13
67e2f34bbd517bc7e964f50a,color,7,12,125,0,1,0,13
67e2f34bbd517bc7e964f50a,monochrome,1,0,313,1,0,0,13
67e2f34bbd517bc7e964f50a,monochrome,1,1,83,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,2,318,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,3,82,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,4,135,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,5,367,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,6,99,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,7,233,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,8,183,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,9,100,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,10,221,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,11,114,0,0,1,13
67e2f34bbd517bc7e964f50a,monochrome,1,12,99,0,1,0,13
